param_n_estimators,param_max_depth,param_num_leaves,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,rank,mean_fit_time,std_fit_time
300,8,31,0.6,0.6,0.12036746949622894,0.006852252590592606,115.44206474412742,1,2.7859230836232505,0.01686231216179552
300,8,31,0.8,0.6,0.12036746949622894,0.006852252590592606,115.44206474412742,1,2.784571568171183,0.04796052789072179
300,8,63,0.6,0.6,0.11929701891885096,0.006290251407368111,115.55078350411826,3,2.831340233484904,0.03687200328877412
300,8,63,0.8,0.6,0.11929701891885096,0.006290251407368111,115.55078350411826,3,2.8283421198527017,0.03560891641425314
300,-1,63,0.6,0.6,0.11755713957705143,0.0037301766042907476,115.69756152256127,5,3.879858652750651,0.07387283213354748
300,-1,63,0.8,0.6,0.11755713957705143,0.0037301766042907476,115.69756152256127,5,3.886375904083252,0.06183831465657112
300,-1,31,0.6,0.6,0.11744686543829115,0.003503327314453138,115.65545233655193,7,3.4724392890930176,0.060202976081784536
300,-1,31,0.8,0.6,0.11744686543829115,0.003503327314453138,115.65545233655193,7,3.473241647084554,0.07662163916178827
300,8,31,0.6,0.8,0.11467379344571697,0.011239643728944313,115.79007187436919,9,3.0871706008911133,0.060698691029853494
300,8,31,0.8,0.8,0.11467379344571697,0.011239643728944313,115.79007187436919,9,3.082913875579834,0.04961139557617001
300,8,63,0.6,0.8,0.11351359868827532,0.010324807459917939,115.8481229396926,11,3.1233975887298584,0.05776072006700517
300,8,63,0.8,0.8,0.11351359868827532,0.010324807459917939,115.8481229396926,11,3.1371542612711587,0.05724518863109684
300,-1,63,0.6,0.8,0.11010042466847013,0.009364006361880962,116.24331150684418,13,4.476354598999023,0.05052907148645877
300,-1,63,0.8,0.8,0.11010042466847013,0.009364006361880962,116.24331150684418,13,4.465432087580363,0.03390582026319934
300,-1,31,0.6,0.8,0.10837477000634495,0.005591487554977117,116.23350414545456,15,3.9741834799448648,0.05574364564272109
300,-1,31,0.8,0.8,0.10837477000634495,0.005591487554977117,116.23350414545456,15,3.9764743645985923,0.057060878908528304
300,8,31,0.8,0.6,0.10671015790222993,0.0029501811489955677,115.75321538658687,17,3.3243651390075684,0.05591475222099433
300,8,31,0.6,0.6,0.10671015790222993,0.0029501811489955677,115.75321538658687,17,3.3340760866800943,0.05671253075251562
500,8,31,0.6,0.6,0.10631801580715873,0.009879245866884483,116.94482703664556,19,4.404668966929118,0.09388460207647031
500,8,31,0.8,0.6,0.10631801580715873,0.009879245866884483,116.94482703664556,19,4.392145872116089,0.09182501235048023
300,-1,31,0.6,0.6,0.1054242691712618,0.002038602645599038,115.8290698396728,21,3.7489537398020425,0.06631206879674298
300,-1,31,0.8,0.6,0.1054242691712618,0.002038602645599038,115.8290698396728,21,3.719557444254557,0.08954426284017697
500,8,63,0.8,0.6,0.10536736763058567,0.00952268630019997,116.98879009470465,23,4.412094593048096,0.10406038771058618
500,8,63,0.6,0.6,0.10536736763058567,0.00952268630019997,116.98879009470465,23,4.435530583063762,0.11227680457043276
300,8,63,0.8,0.6,0.10256895952719142,0.0033510928457660067,116.1772285711387,25,4.236457506815593,0.2488624798736403
300,8,63,0.6,0.6,0.10256895952719142,0.0033510928457660067,116.1772285711387,25,4.15007750193278,0.1462693490471678
500,8,63,0.8,0.8,0.1000137417802343,0.014563576119988732,117.36376927593722,27,4.877007404963176,0.13751797617956277
500,8,63,0.6,0.8,0.1000137417802343,0.014563576119988732,117.36376927593722,27,4.896217425664266,0.1604160729791323
500,8,31,0.8,0.8,0.09959753114433857,0.014196498893243517,117.51449146346648,29,4.79925012588501,0.09645768880803741
500,8,31,0.6,0.8,0.09959753114433857,0.014196498893243517,117.51449146346648,29,4.803496440251668,0.11792441401942924
500,-1,31,0.6,0.6,0.09925764742971553,0.00485126272350829,117.74367966975369,31,6.050675233205159,0.14081939107495717
500,-1,31,0.8,0.6,0.09925764742971553,0.00485126272350829,117.74367966975369,31,6.053472598393758,0.10861766053322003
500,-1,63,0.8,0.6,0.09818188608997534,0.005363932866436092,117.88520966818506,33,6.74981705347697,0.1161091987623587
500,-1,63,0.6,0.6,0.09818188608997534,0.005363932866436092,117.88520966818506,33,6.747112353642781,0.09892401197407012
300,-1,63,0.6,0.6,0.09251575600545199,0.00456284495611236,116.70396975258132,35,6.565841833750407,0.14176085342678688
300,-1,63,0.8,0.6,0.09251575600545199,0.00456284495611236,116.70396975258132,35,6.59265661239624,0.1135439869058738
300,8,31,0.6,0.8,0.09098810484146723,0.001430946151626106,116.44523295875975,37,3.7512524922688804,0.05066430207384378
300,8,31,0.8,0.8,0.09098810484146723,0.001430946151626106,116.44523295875975,37,3.7594381968180337,0.07055180850406093
300,-1,31,0.6,0.8,0.08952543694838022,0.001419103909876957,116.13223088656241,39,4.299591700236003,0.06115527056926385
300,-1,31,0.8,0.8,0.08952543694838022,0.001419103909876957,116.13223088656241,39,4.300220727920532,0.07544527063998409
500,-1,63,0.8,0.8,0.08807187840868291,0.011025703437077454,118.7577088041062,41,7.768433173497518,0.05180165777469489
500,-1,63,0.6,0.8,0.08807187840868291,0.011025703437077454,118.7577088041062,41,7.766980806986491,0.07246996001948486
500,-1,31,0.6,0.8,0.08744675180360013,0.006769412413379076,118.54944469338865,43,6.920942862828572,0.07513888596107014
500,-1,31,0.8,0.8,0.08744675180360013,0.006769412413379076,118.54944469338865,43,6.918038288752238,0.0693801781420279
300,8,63,0.8,0.8,0.08461267498003872,0.0017874939722932204,116.88733974312642,45,4.706457853317261,0.20211890031047675
300,8,63,0.6,0.8,0.08461267498003872,0.0017874939722932204,116.88733974312642,45,4.631127039591472,0.22535301528346519
500,8,31,0.8,0.6,0.08441177071025725,0.0021988132674032263,117.19529712332103,47,5.381524244944255,0.08311160417871415
500,8,31,0.6,0.6,0.08441177071025725,0.0021988132674032263,117.19529712332103,47,5.424723148345947,0.15445007663128896
500,-1,31,0.6,0.6,0.08020082777538569,0.0005165567543762941,117.55732519030471,49,6.384369373321533,0.11802777155562087
500,-1,31,0.8,0.6,0.08020082777538569,0.0005165567543762941,117.55732519030471,49,6.386470317840576,0.14325135997156696
500,8,63,0.8,0.6,0.0787401867161898,0.002140051273198323,117.80328126781394,51,6.178313255310059,0.19469019275620936
500,8,63,0.6,0.6,0.0787401867161898,0.002140051273198323,117.80328126781394,51,6.189798831939697,0.2120682812630878
300,-1,63,0.6,0.8,0.07282879171629038,0.0043895805625986765,117.5116653051346,53,7.695102135340373,0.12114312530301914
300,-1,63,0.8,0.8,0.07282879171629038,0.0043895805625986765,117.5116653051346,53,7.659889539082845,0.1454248893224495
500,8,31,0.8,0.8,0.0674526571878863,0.0024565781623242097,117.91744711116887,55,6.01274569829305,0.14729590123839897
500,8,31,0.6,0.8,0.0674526571878863,0.0024565781623242097,117.91744711116887,55,6.083079735438029,0.14617159896353848
500,-1,31,0.6,0.8,0.06285619089991205,0.0034475638394489763,117.77453165960644,57,7.299093405405681,0.08577814604618525
500,-1,31,0.8,0.8,0.06285619089991205,0.0034475638394489763,117.77453165960644,57,7.304701407750447,0.0997296617880469
500,8,63,0.8,0.8,0.061221548255669445,0.0018962061540792868,118.5952704847233,59,6.826164325078328,0.2696761645574947
500,8,63,0.6,0.8,0.061221548255669445,0.0018962061540792868,118.5952704847233,59,6.959920326868693,0.21162862144116676
500,-1,63,0.6,0.6,0.05985669853270012,0.004483605461213478,118.9875387680019,61,10.962595144907633,0.21048543763579852
500,-1,63,0.8,0.6,0.05985669853270012,0.004483605461213478,118.9875387680019,61,10.980765342712402,0.21129053056995944
500,-1,63,0.6,0.8,0.0370887090789045,0.0037431458327284667,120.10298255404045,63,12.812954743703207,0.20217372894217792
500,-1,63,0.8,0.8,0.0370887090789045,0.0037431458327284667,120.10298255404045,63,12.822704633076986,0.23126728153494644
300,8,63,0.6,0.6,0.03420755830144497,0.021222130866033938,122.08929385821187,65,2.4989164670308432,0.07162640777227633
300,8,63,0.8,0.6,0.03420755830144497,0.021222130866033938,122.08929385821187,65,2.631054083506266,0.05235042335633441
300,8,31,0.6,0.6,0.03327648430962368,0.01931190453402554,122.5804160194271,67,2.5705445607503257,0.05830017893610497
300,8,31,0.8,0.6,0.03327648430962368,0.01931190453402554,122.5804160194271,67,2.6042978763580322,0.04518929507664104
300,8,31,0.8,0.8,0.02281710092062282,0.019954085763207063,122.48790066780447,69,2.49882173538208,0.038283001371850166
300,8,31,0.6,0.8,0.02281710092062282,0.019954085763207063,122.48790066780447,69,2.499751567840576,0.04618780594085666
300,8,63,0.8,0.8,0.020516896014875895,0.015570107843694754,122.4731410343453,71,2.5198233127593994,0.049529979051336714
300,8,63,0.6,0.8,0.020516896014875895,0.015570107843694754,122.4731410343453,71,2.5163168907165527,0.031552514448091755
300,8,63,0.8,0.6,-0.001000015526364787,0.00801272642905075,122.56455094679369,73,2.998221476872762,0.04820758966392073
300,8,63,0.6,0.6,-0.001000015526364787,0.00801272642905075,122.56455094679369,73,2.9532275199890137,0.04976949426993886
300,-1,63,0.8,0.6,-0.0036945650459372426,0.01756338665382198,124.21922777982111,75,4.0635303656260175,0.059395893899342155
300,-1,63,0.6,0.6,-0.0036945650459372426,0.01756338665382198,124.21922777982111,75,4.043375809987386,0.05934436100983286
300,-1,31,0.8,0.6,-0.004886590691712326,0.01755414764306036,123.90739809872576,77,3.573183536529541,0.057298638282804695
300,-1,31,0.6,0.6,-0.004886590691712326,0.01755414764306036,123.90739809872576,77,3.5816451708475747,0.049810345559148365
300,-1,63,0.8,0.8,-0.005459240452384391,0.016723842940751132,124.64501277977553,79,4.742320617039998,0.07245087328302532
300,-1,63,0.6,0.8,-0.005459240452384391,0.016723842940751132,124.64501277977553,79,4.686354398727417,0.023041424931322954
300,8,31,0.8,0.6,-0.007406254017363538,0.016167203350353355,122.55693346575055,81,2.788184324900309,0.03612321173575165
300,8,31,0.6,0.6,-0.007406254017363538,0.016167203350353355,122.55693346575055,81,2.7778985500335693,0.03756126210294517
300,8,31,0.6,0.8,-0.010517535986557004,0.0137746022780815,122.65690801344995,83,3.0907843907674155,0.02945123260405723
300,8,31,0.8,0.8,-0.010517535986557004,0.0137746022780815,122.65690801344995,83,3.08413298924764,0.0496292731937221
