variable,mean,std,min,max
Total energy,276963.5659338662,65134559.45789469,-1898984.5,2752275275.8
Von Mises stress,201062.72393440834,12008301.865444608,0.012946242,717188227.0
Force_X,-122.20949631396915,71.93018225339763,-271.362208,26.3928368
Force_Y,-4.659501568061342,19.179112680991043,-74.93197280000001,66.0127632
Force_Z,116.34401086042502,68.36384494765497,-10.55215344,393.249728
Total dislocation length,1353.854618200464,780.446264385454,18.7530194,3609.509641
Dislocation length.1/2<110>,37.22986962457175,40.95349805316643,0.0,443.0123161
Dislocation length.1/6<110>,91.92591961310885,68.93116344036825,0.0,340.899107644391
Dislocation length.1/6<112>,1108.2584217026408,644.7675522509917,17.42873319,2805.6198319073
BCC phase,409.72077375946174,190.8137457193016,49.0,840.0
FCC phase,248379.5287356322,7224.858356319102,232427.0,260701.0
HCP phase,2533.4821979254275,1849.4633174812623,31.0,7440.0
