variable,mean,std,min,max
Strain,0.3244674536650526,0.24840231776431979,-1.1754253e-15,0.7992
Stress,2.9178472763505927,0.7324250341630357,-0.062828881,5.4023627
Von Mises stress,2.812423557572216,0.6657569487499609,0.42389763,5.2422041
Total energy,-1225192.2302870261,17669.81913102184,-1249987.6,-1183684.2
Total dislocation length,9179.98374257915,3852.640093836356,3021.99780568075,19181.1143377921
Dislocation length.1/2<110>,218.26839092149882,124.34453350025697,14.2145627203204,959.434369934029
Dislocation length.1/3<100>,275.8911372281932,180.70820460301232,6.202810667,1043.96598163669
Dislocation length.1/3<111>,76.43385773105479,48.873740199919304,0.0,342.980619168261
Dislocation length.1/6<110>,1144.0061726372733,475.4171461840445,207.189674528367,2515.73138551915
Dislocation length.1/6<112>,7011.728179175899,2894.621777054343,1927.856275,14070.2415325126
BCC phase,1571.8660878276842,681.2475871397322,189.0,3552.0
FCC phase,217375.75755551844,18011.82150397651,173126.0,261191.0
HCP phase,14788.117882785105,9062.153235332673,1520.0,42450.0
