,DislocationAnalysis.length.1/2<110>,DislocationAnalysis.length.1/3<100>,DislocationAnalysis.length.1/3<111>,DislocationAnalysis.length.1/6<110>,DislocationAnalysis.length.1/6<112>,DislocationAnalysis.total_line_length,CommonNeighborAnalysis.counts.BCC,CommonNeighborAnalysis.counts.FCC,CommonNeighborAnalysis.counts.HCP
Timestep1and2,0.6147550090687421,0.6713275172879072,0.3516931248321828,0.48738384880802477,0.7613174052191498,0.7538305071656914,0.8005919245782943,-0.5903913321479656,0.7771509481659774
Number of particle,,,,,,,,,
Strain rate,,,,,,,,,
Intensity,-0.09022455581822285,0.04960424254758947,-0.036501563249685044,0.0004377560500658099,0.013340641188443763,0.012908758668376553,0.07263672363137773,-0.20610530743254224,0.10602782022719497
Composition,-0.08588894656715435,0.10805295863936995,-0.022900243289827468,0.039069832764341936,0.11996479174927858,0.11614409993925541,0.34370160645534575,-0.6536624458936625,0.20370337610855793
Temp,0.1876661716644498,0.022733572199680384,-0.0069676548757928725,-0.03922848433388745,0.014623255428517447,0.016829560234029445,0.09542247920450499,-0.19369881126634958,0.04760258772154655
v_p1,0.6147550090687423,0.6713275172879073,0.3516931248321832,0.4873838488080245,0.7613174052191503,0.753830507165692,0.8005919245782951,-0.590391332147966,0.7771509481659779
v_p2,0.443989315928024,0.5356600409628535,0.354662191263794,0.46379620624038187,0.5784356957436423,0.5796329022554582,0.6670642004172321,-0.25202376393409415,0.5238217651700521
v_p3,-0.017704394677598153,-0.025188543299891175,-0.02430265554193578,-0.01968181102841293,-0.021530758174633666,-0.022395183294228314,-0.02485841823371099,0.0156489821160903,-0.019248780823764872
v_p4,0.3047934040722383,0.43870958644272723,0.22119744103058508,0.29634723681452524,0.4849476359997656,0.47593723325933285,0.690415183562762,-0.4245820325258076,0.46385459987055494
TotEng,-0.5818554065734574,-0.6279019865179628,-0.4601528925569839,-0.47063223220778305,-0.6679427665565699,-0.6681332546890327,-0.5635366682546947,0.27722478598928074,-0.6798573075595693
Press,-0.4190247073796369,-0.5237232641763301,-0.32880296503183226,-0.4320273272116916,-0.5685326947023097,-0.5671189955968493,-0.6893717230567833,0.30243941251061196,-0.5212084519233837
v_hydro,-0.3597956466803249,-0.4429301109173326,-0.2814323573752333,-0.368835514806684,-0.48274480799481523,-0.48041916901553694,-0.6103128702923826,0.19727408803214141,-0.41689412063916437
