Timestep1and2,Number of particle,Strain rate,Intensity,Composition,Temperature,Strain,Stress,v_p1,v_p2,v_p3,v_p4,Total energy,Press,Von Mises stress,v_hydro,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
0,55,1000000000,0,11,300.26392,3.5441515e-16,-0.017841123,3.5441515e-16,-0.017841123,-0.0069153944,-0.0077566224,-1301987.6,108.37713,0.1918067,5.0316122e-05,CS0,1501.91709557808,22.5584603922874,28.821926240988,0.0,144.190007477871,1289.63615698089,554.0,190218.0,1645.0
600,55,1000000000,0,11,300.06934,0.00012,0.0027004102,0.00012,0.0027004102,-0.0026989915,0.00099951993,-1302185.7,-3.3364619,0.15579794,4.6584171e-05,CS0,1424.00666541877,40.7755158413355,11.8306739064385,0.0,117.312391500429,1234.62365537617,576.0,190198.0,1579.0
1200,55,1000000000,0,11,300.5988,0.00024,-0.0011631505,0.00024,-0.0011631505,-0.004219839,0.0022641075,-1302251.2,10.396273,0.1608397,4.7356829e-05,CS0,1569.57844881663,26.4329755524219,13.3486157059899,0.0,201.594279266008,1310.13377922668,599.0,190205.0,1637.0
1800,55,1000000000,0,11,299.94342,0.00036,0.0097318737,0.00036,0.0097318737,0.0071790714,0.0069832151,-1302334.0,-79.6472,0.18264626,4.5008219e-05,CS0,1600.37415006501,28.7586851362351,15.5692001531631,0.0,179.003429428649,1361.48511177084,578.0,190075.0,1644.0
2400,55,1000000000,0,11,300.51156,0.00048,0.014430512,0.00048,0.014430512,-0.0065702856,0.011207472,-1302403.4,-63.558996,0.16753301,4.5504245e-05,CS0,1501.92511984429,33.4766541849926,12.8598562227603,0.0,170.136206318862,1271.84040848821,614.0,190207.0,1500.0
3000,55,1000000000,0,11,300.11989,0.0006,0.02247098,0.0006,0.02247098,0.0060127669,0.017216234,-1302157.2,-152.33327,0.16588082,4.2729689e-05,CS0,1532.26259713206,21.0662191460187,12.2137345775864,0.0,181.791594606252,1303.67258672615,607.0,190474.0,1420.0
3600,55,1000000000,0,11,300.39768,0.00072,0.032711062,0.00072,0.032711062,0.0082173396,0.019985904,-1302487.2,-203.04769,0.1498972,4.1595464e-05,CS0,1451.04966815081,26.1704195093143,12.4191316256954,0.0,198.248791259552,1189.92330163648,601.0,190171.0,1672.0
4200,55,1000000000,0,11,299.56404,0.00084,0.038709126,0.00084,0.038709126,0.006949594,0.017891246,-1302520.0,-211.83322,0.15871529,4.1739524e-05,CS0,1565.76302718357,7.56946971501523,6.58900349765676,0.0,262.779427340113,1277.0688834795,584.0,190101.0,1666.0
4800,55,1000000000,0,11,300.36537,0.00096,0.045561655,0.00096,0.045561655,0.012729764,0.035018655,-1302600.0,-311.03358,0.13892682,3.8584996e-05,CS0,1549.78051313475,7.68573212448991,12.6891377384201,0.0,176.802218813276,1335.19551776286,592.0,190271.0,1639.0
5400,55,1000000000,0,11,300.72546,0.00108,0.050243376,0.00108,0.050243376,0.0023790204,0.021945665,-1302603.2,-248.56021,0.16496285,4.0571044e-05,CS0,1532.79770867531,20.090514615241,11.1702973233239,0.0,185.708251812993,1294.7900969013,566.0,190165.0,1627.0
6000,55,1000000000,0,11,300.93365,0.0012,0.058280709,0.0012,0.058280709,0.00014602741,0.025039039,-1302494.1,-278.21925,0.17832586,3.9228311e-05,CS0,1477.75227425292,10.2831508025732,0.0,0.0,210.074031088319,1247.66620351138,583.0,190383.0,1638.0
6600,55,1000000000,0,11,300.43069,0.00132,0.056466296,0.00132,0.056466296,-0.0082193653,0.025480907,-1302731.1,-245.75946,0.17132417,4.0307442e-05,CS0,1345.82128620155,29.303916581822,3.07150122892988,0.0,149.841783939744,1151.33004933663,584.0,190147.0,1615.0
7200,55,1000000000,0,11,299.81815,0.00144,0.066741735,0.00144,0.066741735,0.0026092967,0.034029236,-1302748.7,-344.60089,0.15686302,3.7750878e-05,CS0,1565.44718428528,16.1021478867909,4.47237423794846,0.0,154.585697864621,1390.28696429592,579.0,189964.0,1646.0
7800,55,1000000000,0,11,299.91584,0.00156,0.073736558,0.00156,0.073736558,-0.0019181055,0.027991526,-1302894.6,-332.69993,0.19877653,3.8085601e-05,CS0,1441.1209929112,1.84487125073543,0.0,0.0,160.034664929199,1268.22171190525,507.0,190384.0,1563.0
8400,55,1000000000,0,11,299.80311,0.00168,0.079314727,0.00168,0.079314727,-0.0064099831,0.040573811,-1302935.5,-378.26185,0.19110265,3.6691972e-05,CS0,1449.25233401013,4.30400151364982,3.86192732329127,0.0,172.594869683762,1258.82704906114,540.0,190498.0,1606.0
