Timestep1and2,Slding speed,Depth polishing,Particle size,Composition,Temperature,PotEng,KinEng,Total energy,Press,Von Mises stress,v_hydro,Force_X,Force_Y,Force_Z,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
0,100,10,15,11,300.0304,-1283933.4,11616.326,-1272317.1,521.43744,0.16496077,6.6289395e-05,0.0,0.0,0.0,CASE-1,61.57318456,0.0,0.0,0.0,0.0,61.57318456,85.0,260430.0,39.0
600,100,10,15,11,294.77537,-1284204.6,11412.866,-1272791.7,654.6399,0.11781538,6.7272705e-05,0.0,0.0,0.0,CASE-1,30.01787786,0.0,0.0,0.0,0.0,30.01787786,61.0,260554.0,31.0
1200,100,10,15,11,290.62121,-1284371.6,11252.028,-1273119.6,301.02912,0.062235665,5.9659578e-05,0.0,0.0,0.0,CASE-1,73.11507209,0.0,0.0,0.0,0.0,73.11507209,65.0,260655.0,47.0
1800,100,10,15,11,287.58768,-1284456.6,11134.579,-1273322.1,-434.89272,0.15985772,2.8903572e-05,0.0,0.0,0.0,CASE-1,66.32204583,0.0,0.0,0.0,0.0,66.32204583,61.0,260522.0,40.0
2400,100,10,15,11,285.09798,-1284487.1,11038.185,-1273448.9,-1219.0486,0.31254924,-6.4218151e-08,0.0,0.0,0.0,CASE-1,82.93268894,0.0,0.0,0.0,0.0,82.93268894,65.0,260551.0,47.0
3000,100,10,15,11,282.70941,-1284530.9,10945.706,-1273585.2,-1648.2858,0.40688481,-1.6323366e-05,0.0,0.0,0.0,CASE-1,18.7530194,0.0,0.0,0.0,0.0,18.7530194,72.0,260525.0,45.0
3600,100,10,15,11,281.16923,-1284574.9,10886.075,-1273688.8,-1742.6911,0.46353756,-2.0283059e-05,0.0,0.0,0.0,CASE-1,55.49513328,0.0,0.0,0.0,0.0,55.49513328,63.0,260639.0,43.0
4200,100,10,15,11,279.73082,-1284657.6,10830.383,-1273827.2,-1562.5913,0.44702495,-1.1412592e-05,0.0,0.0,0.0,CASE-1,84.95360517,0.0,0.0,0.0,11.11419102,73.83941415,50.0,260545.0,49.0
4800,100,10,15,11,278.84027,-1284777.4,10795.904,-1273981.5,-1051.2023,0.29744256,7.2653624e-06,0.0,0.0,0.0,CASE-1,68.12458019,0.0,0.0,0.0,0.0,68.12458019,55.0,260564.0,52.0
5400,100,10,15,11,277.75199,-1284892,10753.769,-1274138.2,-446.27624,0.13767604,3.2689257e-05,0.0,0.0,0.0,CASE-1,59.64036637,0.0,0.0,0.0,0.0,59.64036637,62.0,260628.0,46.0
