variable,mean,std,min,max
Total energy,-502125.7204520725,46084915.20885538,-1278159.5,2752275275.8
Von Mises stress,0.7036860668843138,0.3193676399952526,0.012946242,1.8491295
Force_X,-122.22020503168851,71.92024537676944,-271.362208,26.3928368
Force_Y,-4.665926072034369,19.17594850224264,-74.93197280000001,66.0127632
Force_Z,116.34621505297926,68.33517967090174,-10.55215344,393.249728
Total dislocation length,1353.840667612692,780.5045836954187,18.7530194,3609.509641
Dislocation length.1/2<110>,37.223800498707966,40.93928968695034,0.0,443.0123161
Dislocation length.1/6<110>,91.92542102028507,68.9456924397344,0.0,340.899107644391
Dislocation length.1/6<112>,1108.2644596214227,644.8062728870128,17.42873319,2805.6198319073
BCC phase,409.69439775910365,190.84755555537316,49.0,840.0
FCC phase,248379.7092436975,7226.473739664279,232427.0,260701.0
HCP phase,2533.6330532212887,1850.2252551785293,31.0,7440.0
