param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
300,4,0.5,0.5,-4199.421536311507,3583.743575630073,456675.5260416667,611847256757589.4,17519980.501742292,1,3.54787810643514,0.0455700928231308
300,6,0.5,0.5,-4258.376166428129,3663.3662236363716,464726.9427083333,612109850946218.6,17540290.82371753,2,4.16630204518636,0.019810902440900415
300,8,0.5,0.5,-4281.022768353422,3568.3350647362,467260.375,612211819719338.6,17564434.86648396,3,6.77103312810262,0.047676294133197836
300,4,0.6,0.5,-4516.081671103835,4017.196082472336,464645.0260416667,613248197634730.6,17626217.99898174,4,2.8134392897288003,0.4961872731172568
300,8,0.6,0.5,-4558.3600603888435,4086.4023231936876,479388.59375,613436056316586.6,17638515.439906172,5,6.911766290664673,0.04161748193736852
300,6,0.6,0.5,-4593.755966703097,4111.824854004949,474314.9791666667,613593462953301.4,17653243.436773058,6,4.177122751871745,0.015381730598077068
300,6,0.8,0.5,-4767.066432133317,3926.734481792875,420653.78125,614372186871125.4,17763467.699175294,7,4.210042476654053,0.012010931775636684
300,8,0.8,0.5,-4820.771157840888,3986.2218698862976,423854.6822916667,614610969296896.0,17782475.271310203,8,7.154658317565918,0.06016763765876419
300,4,0.8,0.5,-4941.43091964225,4143.655619330188,421080.5052083333,615144853165397.4,17821924.10782515,9,2.296906073888143,0.012211784270577012
300,4,0.8,0.6,-5149.218286539118,3656.233818703812,425402.03125,616078140331349.4,17968532.435581703,10,2.360675017038981,0.017799470550887826
300,8,0.8,0.6,-5193.696203584473,3696.4925181027124,427931.2708333333,616276790258346.6,17984595.661752585,11,7.457657655080159,0.052573674244915554
300,6,0.8,0.6,-5203.779044295351,3705.1062709980965,430620.9270833333,616321527403861.4,17988264.263005003,12,4.295765956242879,0.03903300634595628
300,6,0.5,0.6,-5363.14072676003,3998.752880528631,478372.96875,617028441691477.4,18031249.785224874,13,4.207286596298218,0.017156668731452374
300,4,0.5,0.6,-5373.7323008527355,3979.3377132597966,469973.8020833333,617075706604202.6,18037748.50951812,14,2.347092866897583,0.018584199651762327
300,8,0.5,0.6,-5429.609929159284,4112.077234535056,478446.28125,617322940552533.4,18049658.03250283,15,7.006382783253987,0.0698416066222902
300,6,0.8,0.8,-5601.782620747884,3961.222353224273,382195.2604166667,618041568832170.6,18137494.977708966,16,4.917907476425171,0.027630382002842655
300,8,0.8,0.8,-5606.770562410355,3965.1582434254187,385793.9322916667,618064314542762.6,18139296.486104507,17,8.620048681894938,0.11063349371368875
300,4,0.6,0.6,-5733.38396392266,4087.426640475006,463442.4166666667,618673437933568.0,18182720.046446044,18,2.3539485931396484,0.015165604008466995
300,4,0.8,0.8,-5842.342212120692,4131.418709640048,392332.3385416667,619112237629440.0,18224102.028728526,19,2.680859645207723,0.019934045952299164
300,6,0.6,0.6,-5890.854088728626,4169.570393326284,475878.53125,619377152666282.6,18241579.523871582,20,4.229953130086263,0.03016914707579219
300,8,0.6,0.6,-6114.65189294517,4347.76899387365,484965.3541666667,620370842004138.6,18318538.290564388,21,7.264332373936971,0.07395756730307954
600,4,0.8,0.5,-6128.603477065762,4769.987686707585,471932.0625,620401372342954.6,18286258.784722347,22,4.481006860733032,0.05036238713489892
600,4,0.6,0.5,-6153.562528754274,5204.516392419121,544312.9791666666,620488043440810.6,18252528.150648933,23,4.5705641110738116,0.01485482461117593
600,6,0.8,0.5,-6240.936338384946,4737.468222006776,481566.4583333333,620905876510037.4,18335942.165545713,24,8.438039382298788,0.05929249523631815
1000,4,0.8,0.5,-6294.865455095966,4825.66881061723,497332.125,621135956454058.6,18349945.861323327,25,8.010136604309082,0.08735109067802653
600,8,0.8,0.5,-6480.9133729587,4987.483535391562,483824.625,621972257330517.4,18411248.240234103,26,14.079945166905722,0.09667033879914316
1000,6,0.8,0.5,-6561.850420579314,4911.97685966218,509667.40625,622329086345216.0,18450455.82022008,27,13.995676835378012,0.1435022158207818
600,6,0.6,0.5,-6630.262225940824,5547.908163268545,556711.2291666666,622610261300565.4,18418061.737458024,28,8.358092705408732,0.04054175292764614
1000,4,0.6,0.5,-6698.885602002342,5333.55072298244,600215.5,622902514111829.4,18466975.10076961,29,7.871671597162883,0.03918168911683139
600,8,0.6,0.5,-6818.883343135317,5728.4261159079915,580481.625,623448796342954.6,18477307.034433294,30,13.789255221684774,0.07808166628580712
300,8,0.5,0.8,-6911.822705840071,4923.334817667239,446984.8541666667,623896710960469.4,18586785.74108608,31,8.011582533518473,0.07941311771403851
300,4,0.5,0.8,-6938.562383209665,4932.111771051331,443839.3645833333,624014253533866.6,18596288.04516578,32,2.6663708686828613,0.01523337324102993
1000,8,0.8,0.5,-6944.437475120028,5252.797775939778,511922.0104166667,624029576724480.0,18571974.852751687,33,23.30196412404378,0.13327424718151856
300,6,0.5,0.8,-6957.250232969721,4955.211418597726,446156.3958333333,624099911008256.0,18601679.089352984,34,4.79587459564209,0.027694307871031408
600,4,0.8,0.6,-7371.96674420933,5368.452542124207,532693.6979166666,625952326767957.4,18726180.905228335,35,4.762850761413574,0.03879018673077713
600,6,0.8,0.6,-7430.465548629562,5414.770679870795,519151.5104166667,626214718231893.4,18744395.39933569,36,8.574449141820272,0.0523326961816615
300,4,0.6,0.8,-7529.369497105479,5354.277152344244,442733.90625,626617656628565.4,18784779.088837545,37,2.680521011352539,0.009654728272233962
1000,6,0.6,0.5,-7605.290103271604,5964.196595705853,623642.6458333334,626937654061738.6,18763602.590249788,38,13.814087073008219,0.05573217842028078
