param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
1000,8,0.6,0.6,0.03466474155159086,0.021480489707896983,150.4676767985026,106459.30859375,320.21131388346356,1,15.450888395309448,0.3996744670454636
1000,8,0.8,0.6,0.030360326636942613,0.005200632824425441,150.48230489095053,105938.95442708333,319.4808349609375,2,15.934732596079508,0.16413307103964253
1000,6,0.6,0.6,0.027538455905684836,0.02298188833201622,151.42706044514975,107220.80208333333,321.6752471923828,3,8.238830804824829,0.17228957234982822
1000,6,0.8,0.6,0.02501754430875641,0.0028023286295310377,150.79519653320312,106393.4921875,320.4545135498047,4,8.135692278544107,0.10590918304391969
1000,8,0.6,0.8,0.0136170626846996,0.020298537327661105,151.603884379069,107167.72916666667,321.61767578125,5,16.43597912788391,0.3502636710458908
1000,6,0.6,0.8,0.010944812066727037,0.02040238096598883,151.87771860758463,107204.1640625,321.7451934814453,6,9.115675449371338,0.1070878597185882
1000,6,0.8,0.6,0.007554579387620101,0.026439145415049797,152.21115112304688,108386.85677083333,323.8028157552083,7,7.671635707219441,0.0969709372479533
1000,8,0.8,0.6,0.0066906984401621005,0.02582225704588142,153.12191263834634,108745.32291666667,324.2996826171875,8,11.73093557357788,0.2748931025089979
1000,6,0.6,0.6,0.005747397575666895,0.03305534974264425,152.376584370931,108319.79947916667,323.6671498616536,9,7.56745441754659,0.12000799593364388
2000,8,0.8,0.6,0.005118649983417378,0.004710964608764057,152.51910909016928,107607.95572916667,322.24969991048175,10,29.635518789291382,0.23458656855699841
1000,8,0.8,0.8,0.0019169872789944829,0.0022438319742118587,151.80823771158853,107112.63932291667,321.4770202636719,11,16.682896693547566,0.30479256034602425
2000,8,0.6,0.6,0.0016587709534669401,0.02520341377958955,152.8174082438151,108386.7421875,323.4385070800781,12,30.859920104344685,1.3608370642894614
1000,8,0.6,0.6,-0.000703584228246984,0.030673681361789818,152.90147399902344,108812.6640625,324.206792195638,13,11.309682448705038,0.2285790142723079
1000,6,0.8,0.8,-0.0030467801424304206,0.005403794521376915,151.65169270833334,107161.875,321.8868408203125,14,9.288724342981974,0.11045217468394986
4000,8,0.8,0.6,-0.004856570780071098,0.0038572727678882405,153.27447764078775,108178.96223958333,323.1914316813151,15,58.65169938405355,0.5324485555050635
4000,8,0.6,0.6,-0.011709064422694064,0.02630897627279569,153.78582509358725,109068.06640625,324.5756429036458,16,59.45400603612264,1.2288726089649988
1000,6,0.8,0.8,-0.01476874803359967,0.02344238590403035,153.1315892537435,108975.53515625,324.951176961263,17,8.307684183120728,0.21364260526122783
1000,6,0.6,0.8,-0.015115052457097844,0.03489654974212412,153.04056549072266,108438.98177083333,324.1422831217448,18,8.123223781585693,0.061225710423978834
2000,8,0.6,0.8,-0.02251816227131469,0.022628085152594322,154.05331675211588,109129.98828125,324.8581288655599,19,33.084205071131386,0.5550104645380117
1000,8,0.8,0.8,-0.023452731437468972,0.024101228300348474,153.953493754069,109190.33072916667,325.3084716796875,20,12.654890298843384,0.40401374706381993
2000,8,0.8,0.8,-0.025182231535520603,0.000495380031740134,153.78895568847656,108657.87109375,324.03106689453125,21,33.6195867061615,0.9052194118058778
2000,6,0.8,0.6,-0.026488133832736682,0.005018921720398784,154.422726949056,109898.70833333333,326.0331573486328,22,16.83901333808899,0.2327951265356825
1000,8,0.6,0.8,-0.026506326431010068,0.0320667654624464,154.10475413004556,109401.234375,325.3876444498698,23,12.207712252934774,0.2373498645790511
2000,6,0.6,0.6,-0.032365344876234554,0.027627169235905684,155.3580067952474,111019.26953125,327.7869567871094,24,16.353718121846516,0.1982357895467584
4000,8,0.8,0.8,-0.035526146293623745,0.0012722254675747138,154.5630366007487,109203.92317708333,324.9402720133464,25,66.89926234881084,1.254589020784311
4000,8,0.6,0.8,-0.035978186626196305,0.023304511863845245,155.03112030029297,109798.53776041667,325.97357686360675,26,67.69638307889302,1.1141604340376454
2000,8,0.8,0.6,-0.043371438973146735,0.02586966861229213,156.401974995931,111717.76041666667,329.0966084798177,27,22.91426928838094,0.4853612037213267
2000,6,0.6,0.8,-0.05498597867902074,0.025422330678522145,156.17738596598306,111267.50520833333,328.32965087890625,28,18.46601327260335,0.3484242361818676
2000,6,0.8,0.8,-0.059597806392980346,0.0057481025413237885,155.4116185506185,110693.88802083333,327.5365804036458,29,18.459920326868694,0.18756397845357617
2000,8,0.6,0.6,-0.06276255768255944,0.0319160451511586,156.79989115397134,112379.68229166667,330.04522705078125,30,22.415637095769245,0.46504379341044033
2000,6,0.8,0.6,-0.06541215365637959,0.03125705106732472,156.72490946451822,113107.37760416667,331.3319091796875,31,15.92169451713562,0.04390762045877596
4000,6,0.8,0.6,-0.06721917659502959,0.006572683267705965,157.24459330240884,112334.26822916667,329.876708984375,32,33.877338806788124,0.17248395422456508
4000,8,0.8,0.6,-0.07144155509659733,0.024770604994014993,158.238889058431,113251.36458333333,331.54823811848956,33,45.11014103889465,1.2830478409259534
2000,8,0.8,0.8,-0.07629628674128335,0.020660243195660136,157.16126251220703,111948.09375,329.7930196126302,34,24.5832945505778,0.6557037489470162
2000,6,0.6,0.6,-0.07658653321032442,0.03839293479791565,157.26644897460938,113372.94010416667,331.65794881184894,35,15.198385238647461,0.15711493808211674
4000,6,0.6,0.6,-0.079487490438644,0.02946774136189433,158.4770711263021,113744.75520833333,332.0592956542969,36,33.902869860331215,0.2527374079388135
2000,6,0.8,0.8,-0.09298622795937517,0.02345417607300954,157.54085286458334,113288.8984375,331.8413391113281,37,16.528899431228638,0.2870315901431387
2000,8,0.6,0.8,-0.09459407174159952,0.033103401245579214,158.26361083984375,112979.72395833333,331.24913533528644,38,24.19093330701192,0.5182554037788304
4000,8,0.6,0.6,-0.10009636580375299,0.030308623973696307,159.06217447916666,114165.375,332.9008280436198,39,46.14790860811869,0.28433677143922853
4000,6,0.8,0.8,-0.10356220307870141,0.006394952008945122,158.358642578125,113098.86197916667,331.41225179036456,40,37.22215962409973,0.37613890215973916
2000,6,0.6,0.8,-0.10444906992659973,0.039863505805754734,158.02659606933594,113418.8671875,332.0818786621094,41,16.347967783610027,0.19317849006460847
4000,6,0.6,0.8,-0.10488813069888042,0.026735741968319147,159.3938446044922,113881.02083333333,332.53162638346356,42,37.358064810434975,0.5878058780741161
4000,8,0.8,0.8,-0.10500030922313768,0.018658805070253432,158.9169718424479,113368.06510416667,332.0814208984375,43,50.03025714556376,1.3421165534252713
4000,6,0.8,0.6,-0.1278721596655146,0.03242024219207297,160.52804056803384,116605.54166666667,336.74671427408856,44,31.481920957565308,0.546039180547725
4000,8,0.6,0.8,-0.13276495857657053,0.031303204951028,160.5823771158854,114789.0546875,334.19158935546875,45,49.06967282295227,0.7044305804680695
4000,6,0.6,0.6,-0.15070474605042042,0.04088169097181663,161.63055419921875,117364.44791666667,337.8217366536458,46,30.917996486028034,0.6334936920578702
4000,6,0.8,0.8,-0.15719114145183025,0.023980859079652757,161.3642323811849,116630.03125,337.06981404622394,47,32.73209055264791,0.4456617805470469
4000,6,0.6,0.8,-0.1834545878290219,0.04091418342785156,162.46548461914062,117079.60677083333,337.8845520019531,48,32.850230852762856,0.5822062070692154
