variable,mean,std,min,max
Strain,0.32382599163179915,0.24820286428555707,-1.1754253e-15,0.7992
Stress,2.9169026663537574,0.7327684031560784,-0.062828881,5.4023627
Von Mises stress,-8.862798027341404,404.37722891714554,-15092.942,5.2422041
Total energy,-1223941.2523185704,42632.80771670664,-1249987.6,1.2082844
Total dislocation length,9171.050671132818,3848.8725189505926,3021.99780568075,19181.1143377921
Dislocation length.1/2<110>,218.21836320524915,124.40553222589442,14.2145627203204,959.434369934029
Dislocation length.1/3<100>,275.62035196700185,180.55450336653217,6.202810667,1043.96598163669
Dislocation length.1/3<111>,76.32289083191304,48.802388160618264,0.0,342.980619168261
Dislocation length.1/6<110>,1143.060930176902,475.4084480672673,207.189674528367,2515.73138551915
Dislocation length.1/6<112>,7005.20393495755,2891.889155997197,1927.856275,14070.2415325126
BCC phase,1570.3926359832635,680.7141603795797,189.0,3552.0
FCC phase,217410.10309623432,18003.165888805077,173126.0,261191.0
HCP phase,14770.667280334728,9055.092265727382,1520.0,42450.0
