Timestep1and2,Number of particle,Composition,Temperature,Strain rate input,Strain,Stress,Total energy,Von Mises stress,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
0,55.0,11.0,302.10497,100000000.0,-5.8718665e-16,0.011836835,-1232376.5,0.64476315,CASE1,4197.01407591293,310.787290431404,53.5192900232837,30.3039374286411,270.360456837197,3419.13517639877,552.0,235621.0,3057.0
600,55.0,11.0,301.00728,100000000.0,0.00012,0.019378232,-1232681.3,0.66214382,CASE1,4039.37870373887,378.503705079301,41.0962850692552,25.778776640149,248.873756269815,3215.41627928696,557.0,235981.0,3139.0
1200,55.0,11.0,301.45426,100000000.0,0.00024,0.069120828,-1232792.2,0.60755119,CASE1,3895.56098987088,274.773658621144,28.4574512887627,7.50932465294107,266.111651418581,3170.83163598675,545.0,235837.0,3394.0
1800,55.0,11.0,300.44375,100000000.0,0.00036,0.057712607,-1233130.7,0.57315178,CASE1,3895.36763581752,277.717108221931,58.3374587699387,14.9596735500248,239.911785510411,3138.40755405739,503.0,235668.0,3585.0
2400,55.0,11.0,301.13498,100000000.0,0.00048,0.088499466,-1233272.9,0.57566086,CASE1,3796.14695281485,289.826013262979,88.6964037251034,11.4725862602997,243.364225599541,3031.17658535595,514.0,236283.0,3322.0
3000,55.0,11.0,300.79981,100000000.0,0.0006,0.076346959,-1233495.2,0.58057531,CASE1,3566.65782265352,256.606758213746,58.8988872010687,45.2939735446044,223.843417144794,2853.26969439985,509.0,236586.0,3051.0
3600,55.0,11.0,301.54354,100000000.0,0.00072,0.055636407,-1233582.4,0.58371524,CASE1,3621.73175757083,271.934579073042,76.3177563675058,14.6739035120045,262.880915774542,2871.19635791787,484.0,236714.0,2998.0
4200,55.0,11.0,301.36002,100000000.0,0.00084,0.081377266,-1233812.1,0.54938997,CASE1,3505.27819873738,293.916851907458,48.2003604095876,26.4822771985434,293.996483668529,2732.44998926908,445.0,236610.0,2990.0
4800,55.0,11.0,301.35247,100000000.0,0.00096,0.10643545,-1233852.3,0.57061535,CASE1,3474.63922734018,238.899606733127,55.0867463428973,34.2158810031744,218.301800066238,2814.19492429008,473.0,236909.0,2760.0
5400,55.0,11.0,301.00886,100000000.0,0.00108,0.14566301,-1233986.6,0.63542434,CASE1,3447.62415315348,267.333364133544,51.5791003853565,19.9716846044939,257.338032768388,2733.38159955972,437.0,237248.0,2562.0
6000,55.0,11.0,301.55879,100000000.0,0.0012,0.13084955,-1234068,0.64620402,CASE1,3444.88990331297,248.208238925715,41.2880933680375,15.6669966583781,269.486349806384,2751.00504422055,449.0,237208.0,2719.0
6600,55.0,11.0,300.76364,100000000.0,0.00132,0.17768128,-1234154,0.61241259,CASE1,3459.06723766256,251.762969731077,45.2810126987325,22.0699569713561,277.28822481198,2770.07320909529,445.0,237096.0,2700.0
7200,55.0,11.0,301.14435,100000000.0,0.00144,0.19265541,-1234171.6,0.6403934,CASE1,3494.47242238196,265.56847496049,55.1751605851838,19.5071689729528,270.185581635697,2797.71972604261,476.0,237313.0,2451.0
7800,55.0,11.0,301.33869,100000000.0,0.00156,0.2130623,-1234320.9,0.68639357,CASE1,3538.41823851143,263.741796027215,57.0341698056796,19.3377331761452,246.945136209982,2828.81880770741,499.0,237273.0,2399.0
8400,55.0,11.0,300.83887,100000000.0,0.00168,0.19654955,-1234340.3,0.69301099,CASE1,3358.79273235565,260.74552014666,85.7890486900663,23.4842791256818,212.537623129831,2695.32483595141,503.0,237279.0,2514.0
9000,55.0,11.0,301.0331,100000000.0,0.0018,0.23786065,-1234496.8,0.66964128,CASE1,3408.74613613336,258.29619958589,64.5327848371965,11.9232154314349,287.092278419649,2664.49666046644,487.0,237051.0,2701.0
9600,55.0,11.0,300.74912,100000000.0,0.00192,0.24492134,-1234566.3,0.69392636,CASE1,3322.83091209476,235.909319106358,62.8404902694118,14.1989316818339,233.553413457124,2652.70739192104,445.0,237093.0,2612.0
10200,55.0,11.0,301.09993,100000000.0,0.00204,0.2533327,-1234712.9,0.69410306,CASE1,3506.49583361805,233.464290028134,74.8198160724736,3.03983458699187,255.514753886021,2817.31001706893,468.0,237227.0,2488.0
10800,55.0,11.0,301.15783,100000000.0,0.00216,0.27848432,-1234717.8,0.66201422,CASE1,3314.52247532428,270.390780709971,82.4349027824682,21.7751878647063,233.660508995384,2606.93088982409,477.0,237124.0,2605.0
11400,55.0,11.0,300.57185,100000000.0,0.00228,0.29985752,-1234811,0.66825402,CASE1,3430.37876535308,238.059368745815,54.056864213728,49.6929481138858,227.395354272602,2758.46439472281,497.0,236964.0,2547.0
12000,55.0,11.0,300.62288,100000000.0,0.0024,0.29187882,-1234831.7,0.68831265,CASE1,3490.83333092712,227.317610326042,51.1862773867176,17.1427891615295,258.259097687424,2827.36569863508,440.0,237108.0,2472.0
12600,55.0,11.0,300.93567,100000000.0,0.00252,0.32013744,-1234939.7,0.72316432,CASE1,3463.38352015919,230.529974764543,39.210447377288,19.4551897180496,230.307279238159,2833.90170244513,407.0,237257.0,2369.0
13200,55.0,11.0,300.60537,100000000.0,0.00264,0.32979003,-1234990.8,0.70883292,CASE1,3495.13027592521,246.398869774543,69.239025007547,12.7542057721348,288.934921922331,2764.57216132774,495.0,236742.0,2578.0
13800,55.0,11.0,300.83155,100000000.0,0.00276,0.3568407,-1235009.4,0.7082095,CASE1,3389.88511172183,236.628515064548,72.5906211453087,27.5275167121386,236.834341346894,2694.60176634399,478.0,236996.0,2568.0
14400,55.0,11.0,301.09796,100000000.0,0.00288,0.34863557,-1235079.3,0.71529174,CASE1,3337.84195573679,247.094984899563,44.466682570115,14.2715524283449,280.802785440173,2673.69710181914,482.0,237064.0,2479.0
15000,55.0,11.0,301.29145,100000000.0,0.003,0.3883302,-1235135.8,0.72789293,CASE1,3391.19319717137,226.350226240735,72.9457938843366,15.6433995609956,230.840606842586,2766.60801231045,437.0,237117.0,2516.0
15600,55.0,11.0,300.79506,100000000.0,0.00312,0.38770965,-1235183.5,0.74116462,CASE1,3452.99517275589,190.760292814517,53.9481689590377,6.30875387037071,267.35577515584,2801.05510752577,469.0,236841.0,2617.0
16200,55.0,11.0,300.99517,100000000.0,0.00324,0.389591,-1235232.7,0.72531434,CASE1,3461.59222438368,223.870469611657,45.8311219820582,22.7653240798333,232.417530086328,2821.9940240732,534.0,236963.0,2560.0
16800,55.0,11.0,300.86553,100000000.0,0.00336,0.41045358,-1235229.2,0.75769847,CASE1,3496.41436311822,239.613281898784,62.8209334374471,26.3099452023591,256.967464464203,2835.67810950846,477.0,236664.0,2587.0
17400,55.0,11.0,300.81729,100000000.0,0.00348,0.42240395,-1235287.8,0.76708933,CASE1,3405.73033112665,214.987255984155,53.0038557529641,11.5050021536125,227.4044854578,2807.55264415857,486.0,236966.0,2402.0
18000,55.0,11.0,301.09192,100000000.0,0.0036,0.43628818,-1235390.8,0.76626918,CASE1,3583.84421912325,239.481369385171,41.1810293607236,14.7765971859068,233.707857580202,2950.64240298413,455.0,236871.0,2465.0
18600,55.0,11.0,301.13811,100000000.0,0.00372,0.44460725,-1235502.6,0.78272216,CASE1,3425.65180419282,194.156729615216,69.4750402339148,15.3163653713418,294.747124217611,2730.62359315867,468.0,236851.0,2549.0
19200,55.0,11.0,300.84506,100000000.0,0.00384,0.46443813,-1235552.9,0.77772211,CASE1,3482.46328192622,206.760072492516,84.0515668096099,13.2461819223074,220.953468998101,2851.72991187862,488.0,237195.0,2401.0
19800,55.0,11.0,301.2762,100000000.0,0.00396,0.50101766,-1235617.9,0.78337483,CASE1,3568.75742887176,233.614554491952,54.1014802962167,38.8124959756097,242.069438084455,2890.16545602668,492.0,237105.0,2346.0
20400,55.0,11.0,300.74686,100000000.0,0.00408,0.49192585,-1235630.1,0.7815302,CASE1,3359.56907006632,271.270760781208,65.8509866281393,27.2236711025592,228.859806608533,2685.36247445387,428.0,236932.0,2492.0
21000,55.0,11.0,300.76506,100000000.0,0.0042,0.50072759,-1235666.8,0.79752556,CASE1,3612.17786152666,231.09365203807,69.9548628606758,14.6142565238843,244.572138901437,2979.11275136918,461.0,236953.0,2477.0
21600,55.0,11.0,299.99325,100000000.0,0.00432,0.52622497,-1235716.9,0.8065774,CASE1,3473.82909704871,263.08636083231,57.6855952704414,18.1417493035016,279.188263525276,2748.9945109234,440.0,237183.0,2308.0
22200,55.0,11.0,300.89975,100000000.0,0.00444,0.55359856,-1235806.2,0.822166,CASE1,3399.0672028515,214.72506600595,48.5722437249048,21.1883387701266,231.059791863681,2762.89546737954,469.0,237259.0,2360.0
22800,55.0,11.0,301.3636,100000000.0,0.00456,0.53876918,-1235834.7,0.81779159,CASE1,3416.01433007251,236.164241839649,38.3576166502964,13.3911816571444,264.590196330242,2762.0869733893,502.0,236832.0,2400.0
23400,55.0,11.0,301.13532,100000000.0,0.00468,0.58972327,-1235846.2,0.82180755,CASE1,3437.09692529193,218.025870317642,50.0771924467241,15.5936025842805,298.46101211276,2754.09747373804,471.0,236751.0,2562.0
24000,55.0,11.0,300.651,100000000.0,0.0048,0.58805306,-1235951.8,0.80651046,CASE1,3565.58751427647,241.108552795547,65.1172717326013,22.2955961846143,285.088643088754,2866.17755454025,477.0,236827.0,2422.0
24600,55.0,11.0,301.5391,100000000.0,0.00492,0.60733647,-1235936.2,0.83174139,CASE1,3433.9238813685,241.408233902131,64.4799541924449,22.3498237688703,274.043619530409,2717.68579890873,453.0,236902.0,2469.0
25200,55.0,11.0,300.62814,100000000.0,0.00504,0.62420319,-1236009.2,0.8291872,CASE1,3296.62009881644,261.448705003818,45.2951364555272,19.6139517556898,248.023557631337,2629.22484531892,512.0,236912.0,2371.0
25800,55.0,11.0,300.4881,100000000.0,0.00516,0.62921913,-1236038.2,0.85627658,CASE1,3395.6946553727,214.110517855837,69.3860241526549,20.029191925191,286.334407166608,2702.24101406679,506.0,237055.0,2474.0
26400,55.0,11.0,301.13037,100000000.0,0.00528,0.64537077,-1236055.3,0.89575449,CASE1,3334.01709915127,275.118408410811,55.0223177522424,40.8188071429492,266.469906879074,2556.50801062762,530.0,237144.0,2358.0
27000,55.0,11.0,301.29081,100000000.0,0.0054,0.65700313,-1236096,0.86253174,CASE1,3496.38054621041,283.971151318521,38.5646818213592,16.6257274191334,282.021203277905,2778.25459603992,487.0,236843.0,2452.0
27600,55.0,11.0,301.61517,100000000.0,0.00552,0.68231658,-1236074,0.88056687,CASE1,3356.87663432911,240.730418472305,47.7471223415635,27.6163511238107,283.1397051625,2672.64767197015,504.0,236847.0,2417.0
28200,55.0,11.0,301.64593,100000000.0,0.00564,0.68329641,-1236111.8,0.89295096,CASE1,3470.51355558251,221.515901550873,47.3905988987468,8.77943820803092,259.785722828146,2834.87460764528,492.0,236639.0,2429.0
28800,55.0,11.0,300.16539,100000000.0,0.00576,0.72671149,-1236123.2,0.91979801,CASE1,3521.7168759749,248.759803203572,45.1018237034373,27.6095940424556,356.73653080429,2750.17021735515,549.0,236694.0,2399.0
29400,55.0,11.0,300.97553,100000000.0,0.00588,0.72181576,-1236242,0.91081469,CASE1,3393.40815481825,235.938633126372,47.7963231794288,31.9080718988371,351.39961060498,2666.47463163077,487.0,236629.0,2384.0
30000,55.0,11.0,301.27757,100000000.0,0.006,0.73596739,-1236282.8,0.93194787,CASE1,3476.66867073114,229.76790478569,46.3538313853407,11.8076856286751,378.545959766651,2707.21732361487,482.0,236814.0,2389.0
30600,55.0,11.0,300.43672,100000000.0,0.00612,0.76518773,-1236347.2,0.93160049,CASE1,3498.33432204288,259.537349968224,41.0692795209037,20.4476303151356,358.548222102235,2720.79789930097,494.0,236697.0,2490.0
31200,55.0,11.0,301.17476,100000000.0,0.00624,0.79507292,-1236375.7,0.94347406,CASE1,3677.29941683403,246.452361566817,65.2475156752559,9.0249388136032,313.470972579648,2932.2325425554,527.0,236993.0,2394.0
31800,55.0,11.0,300.63657,100000000.0,0.00636,0.79227581,-1236406.4,0.96722382,CASE1,3549.13005083377,254.226547463936,34.5685569500297,31.6921018456556,293.27564668114,2819.90046328614,522.0,236990.0,2277.0
32400,55.0,11.0,301.29544,100000000.0,0.00648,0.79236527,-1236458.1,0.96174063,CASE1,3563.11711101597,235.226971739082,38.9954089845219,30.4326116044819,356.543728736104,2751.34138997163,473.0,236785.0,2288.0
33000,55.0,11.0,300.58235,100000000.0,0.0066,0.77815604,-1236435.4,0.96980501,CASE1,3558.58386885899,211.511004882074,58.133929300132,11.8649775868324,322.845977360627,2863.41107771729,515.0,236886.0,2324.0
33600,55.0,11.0,300.45648,100000000.0,0.00672,0.84781766,-1236500,0.98018502,CASE1,3594.94384273885,242.840010208656,53.554534064377,11.9746154026097,367.930969314181,2845.39774987192,486.0,237080.0,2189.0
34200,55.0,11.0,300.95693,100000000.0,0.00684,0.85185111,-1236514.8,1.000982,CASE1,3672.50443488594,233.942133127871,39.6399252654823,38.6073420104752,372.70135713796,2894.7489486736,491.0,237224.0,2149.0
34800,55.0,11.0,301.09397,100000000.0,0.00696,0.85596529,-1236574.7,1.0059946,CASE1,3613.68759553473,241.198308292677,59.042556622752,16.949302583262,383.537154062869,2806.94087206174,535.0,237001.0,2187.0
35400,55.0,11.0,300.91755,100000000.0,0.00708,0.8762766,-1236582.2,1.0036702,CASE1,3582.16749168995,236.915039495056,44.1858234901187,19.4801253626014,353.996747815673,2813.12784399808,526.0,236864.0,2252.0
36000,55.0,11.0,300.71551,100000000.0,0.0072,0.87771483,-1236622.9,1.0228892,CASE1,3687.77844260104,224.843586866355,61.6631292541712,25.8856299222479,421.26206573967,2859.89447928831,504.0,236802.0,2213.0
36600,55.0,11.0,301.17156,100000000.0,0.00732,0.89411521,-1236600.6,1.0211962,CASE1,3652.01409514531,213.725556142126,51.195090236227,24.8100381013658,328.722990051906,2920.02903157339,560.0,236689.0,2288.0
37200,55.0,11.0,300.39479,100000000.0,0.00744,0.9083289,-1236661,1.0449149,CASE1,3702.933483777,220.797454193574,48.0493221939,13.4874000011457,400.132186949724,2905.73591566297,498.0,236849.0,2237.0
37800,55.0,11.0,300.70504,100000000.0,0.00756,0.92644763,-1236700.7,1.0574391,CASE1,3609.41582876995,205.393310273045,34.2447847588075,42.1565427293326,311.175365251796,2892.28718334816,525.0,236673.0,2317.0
38400,55.0,11.0,301.08155,100000000.0,0.00768,0.92428441,-1236736.4,1.0631601,CASE1,3590.23304338538,223.489591240197,37.4679381977558,16.7516593960007,338.194295430786,2880.57569413931,606.0,236723.0,2223.0
39000,55.0,11.0,300.94485,100000000.0,0.0078,0.98182087,-1236748.1,1.0770609,CASE1,3529.84849225991,203.136309668065,44.1183849233399,20.4121982783879,307.604535872767,2858.33586746201,548.0,236666.0,2241.0
39600,55.0,11.0,300.82863,100000000.0,0.00792,0.96888386,-1236769.8,1.0874723,CASE1,3404.47386004175,209.3025263449,36.4211663384279,25.6886324779619,301.912051988264,2747.72336584752,562.0,236444.0,2247.0
40200,55.0,11.0,300.36869,100000000.0,0.00804,1.0064466,-1236847.2,1.1038612,CASE1,3553.63674776156,254.842097821027,33.8380239827948,29.8944995121015,330.383287175841,2830.65613355089,528.0,236677.0,2234.0
40800,55.0,11.0,300.95161,100000000.0,0.00816,1.0022976,-1236826.4,1.1071672,CASE1,3436.52567834385,234.477378379957,29.7523879060492,23.9260231718591,345.325695655854,2705.8661331742,531.0,236545.0,2273.0
41400,55.0,11.0,300.59363,100000000.0,0.00828,1.0196286,-1236835.2,1.1143758,CASE1,3456.82448865805,224.747168274243,48.0906164041473,37.8489873338463,303.827041113561,2741.60178397059,556.0,236848.0,2149.0
42000,55.0,11.0,301.07921,100000000.0,0.0084,1.0390831,-1236865.4,1.119623,CASE1,3500.47164432352,234.946947775427,51.4495046839699,30.1192906547791,337.049641396287,2773.21854407945,512.0,236715.0,2111.0
42600,55.0,11.0,301.05303,100000000.0,0.00852,1.0711669,-1236893.3,1.1275475,CASE1,3677.8558396421,217.191808998171,54.3454721256575,49.8786074503689,379.567883738058,2884.67092945112,545.0,236598.0,2279.0
43200,55.0,11.0,300.67219,100000000.0,0.00864,1.0834989,-1236912.5,1.1480802,CASE1,3429.21883794501,221.815878657114,39.6127627665041,34.0783991077731,360.943610091896,2679.82150803253,569.0,236562.0,2213.0
43800,55.0,11.0,300.46753,100000000.0,0.00876,1.0782351,-1236909.9,1.1492418,CASE1,3438.82873424649,248.497454113139,57.3084780901283,53.3225132365102,277.349005881356,2718.35826162062,543.0,236616.0,2144.0
44400,55.0,11.0,300.55167,100000000.0,0.00888,1.0990005,-1236942.9,1.1748658,CASE1,3558.53880465259,232.810272442104,45.4816416586673,25.1405479714691,348.64715756178,2818.54753661155,506.0,236442.0,2322.0
45000,55.0,11.0,300.9482,100000000.0,0.009,1.101007,-1236986.1,1.1875009,CASE1,3538.7313816072,196.865747732792,61.9306901013545,41.8936871845906,374.929613023986,2752.33704911419,565.0,236367.0,2261.0
45600,55.0,11.0,300.87615,100000000.0,0.00912,1.1326547,-1236989.5,1.1793276,CASE1,3584.99269194736,205.813358153384,53.3085002562685,32.1255728817542,354.109515690713,2846.36797544059,555.0,236254.0,2362.0
46200,55.0,11.0,301.00998,100000000.0,0.00924,1.1165512,-1236985.8,1.2025428,CASE1,3586.68120835914,208.02259154488,40.4526562595075,41.3993695364877,347.743680557098,2853.27225383202,592.0,236318.0,2225.0
46800,55.0,11.0,300.86514,100000000.0,0.00936,1.1350051,-1237018.6,1.2165513,CASE1,3578.13249393573,224.009072557252,39.9109574002849,40.6850932288342,362.557272720228,2828.09819782169,581.0,236412.0,2181.0
47400,55.0,11.0,301.53628,100000000.0,0.00948,1.1677683,-1237113.5,1.2199501,CASE1,3551.80999368583,239.857661002812,29.134487360038,38.9340927033428,375.919494155349,2788.98632139742,579.0,236151.0,2231.0
48000,55.0,11.0,300.47384,100000000.0,0.0096,1.1793763,-1237092,1.2253744,CASE1,3652.77622052537,179.231076893152,27.648710673905,50.817044007645,350.147980754139,2954.95952667989,574.0,236183.0,2195.0
48600,55.0,11.0,301.38361,100000000.0,0.00972,1.1891989,-1237126.2,1.2283529,CASE1,3521.19870629076,226.42460537518,25.7394763235628,35.9237766977533,333.601991047047,2819.85711446318,597.0,236201.0,2173.0
49200,55.0,11.0,300.84648,100000000.0,0.00984,1.2191749,-1237179.8,1.2790821,CASE1,3521.43226564422,250.572558957534,36.0619207327592,32.3562398460353,320.920005833084,2801.50304229752,555.0,236170.0,2173.0
49800,55.0,11.0,300.55666,100000000.0,0.00996,1.2423291,-1237227,1.2639769,CASE1,3651.7101673283,195.771177170198,52.3436760385362,37.98636852241,407.441567497614,2881.67462745272,589.0,236184.0,2349.0
