param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
600,4,0.5,0.8,-263786.97363279015,373051.26001049223,116.69025421142578,78746.65755208333,274.84972636765025,1,4.010957558949788,0.01898417664630555
1000,4,0.5,0.8,-264972.9915402308,374728.50463299395,118.44866180419922,80311.1015625,277.8704816785018,2,6.645994822184245,0.008861385004006664
600,8,0.5,0.8,-270388.29519141716,382386.9192720387,117.74931081136067,80784.21484375,278.3868932942926,3,12.695101896921793,0.35746653550879653
1000,8,0.5,0.8,-270627.73149385425,382725.4916845104,119.42697143554688,82107.00911458333,280.92938175989275,4,21.338207642237347,0.3956908121206299
600,6,0.5,0.8,-275231.4173165411,389236.1343641512,117.52575429280598,80258.20703125,277.4988603118395,5,7.352935711542766,0.2367011485501743
1000,6,0.5,0.8,-275409.31384300935,389487.6723800466,119.5522689819336,82064.27083333333,281.0332879078228,6,11.964153289794922,0.11258957932188028
300,4,0.5,0.8,-296092.5400419409,418738.2660680706,114.94127655029297,77998.93359375,273.01460407793803,7,2.0450488726298013,0.003282569337672528
1000,4,0.8,0.8,-302537.3729377749,427852.548696316,119.02204895019531,80815.4375,279.057502392889,8,6.562832276026408,0.007779713083220243
1000,8,0.6,0.8,-303420.00597545627,429100.7632583065,119.62024434407552,82297.40104166667,281.39940849913955,9,21.969695329666138,0.3760657514388552
1000,6,0.6,0.8,-304833.25501858443,431099.4012519408,119.8191655476888,82003.32682291667,280.9843325141083,10,12.008707602818808,0.09302173669499327
300,8,0.5,0.8,-305577.2716797094,432151.6969436737,115.60275522867839,79251.20052083333,275.1840396367227,11,6.459229389826457,0.23361072260826382
600,8,0.6,0.8,-305587.571340017,432166.2017117213,117.98881530761719,81038.171875,278.90050736470926,12,12.754363934199015,0.34753976759908756
600,4,0.8,0.8,-306046.70537506294,432815.54031897744,117.23882548014323,79273.83333333333,275.9908234896351,13,4.090713103612264,0.0016505348451923186
600,6,0.6,0.8,-307072.96151770157,434266.87264386145,117.66227722167969,80157.08854166667,277.38219273373363,14,7.205695549647014,0.09740892351352519
300,6,0.5,0.8,-310100.43550387275,438548.42259850074,115.22461954752605,78809.61848958333,274.40121757737757,15,3.799849271774292,0.08352771518432485
1000,6,0.6,0.8,-324592.4873659499,459043.16887238517,120.22999572753906,82769.54817708333,282.1886417490307,16,11.15631373723348,0.19557907009336156
600,6,0.6,0.8,-327567.3589047243,463250.3240853798,117.98096720377605,80719.84635416667,278.27383383401826,17,6.841774622599284,0.08765622629707788
1000,4,0.6,0.8,-332375.28754112124,470049.73657826195,118.575439453125,80710.41015625,278.4896571824957,18,6.555390437444051,0.04400950422122264
1000,8,0.6,0.8,-333727.5591103074,471962.0916162632,120.65148671468098,82895.59505208333,282.4203803007985,19,17.93136517206828,0.3756388670364616
600,4,0.6,0.8,-334914.3495974342,473640.55770938285,116.99991861979167,79185.39453125,275.5778824194087,20,4.111027002334595,0.01630622701468883
600,8,0.6,0.8,-336300.93509006005,475601.4369437191,118.72818756103516,81318.90885416667,279.422088446925,21,10.935623248418173,0.24774405464894733
1000,4,0.8,0.8,-337073.9369553104,476694.62270850246,119.15225219726562,80672.38671875,278.83758857111667,22,6.608938614527385,0.020863515068355654
600,4,0.8,0.8,-340151.1860851571,481046.5562027801,117.26505025227864,79277.8125,275.96000169205774,23,4.020284255345662,0.0150087808147923
300,8,0.6,0.8,-350797.29694198567,496102.46056523186,115.67229461669922,79239.20963541667,275.2580055963589,24,6.693909724553426,0.27505912304016794
300,6,0.6,0.8,-352699.16840021807,498792.12048857805,115.52068837483723,78718.51953125,274.283473070298,25,3.8854719003041587,0.07791310263433324
1000,4,0.6,0.8,-353262.20336531225,499588.2980001389,118.52918752034505,80416.05598958333,278.104043449558,26,6.631337881088257,0.007149468759081247
